Round,Node,Tasks
94,5,"[2, 6, 10, 12, 14, 15, 16, 19, 31, 53, 54, 73, 75, 76]"
95,0,[59]
95,1,[1]
95,2,[2]
95,3,[3]
95,4,[58]
95,5,[5]
95,6,[6]
95,7,[45]
95,8,"[4, 52, 56]"
95,9,"[9, 16, 22, 47, 51]"
95,10,[46]
95,11,[55]
95,12,[12]
95,13,[53]
95,14,"[8, 10, 14, 27]"
95,15,"[15, 61]"
95,16,"[49, 57]"
95,17,[17]
95,18,[18]
95,19,[0]
95,20,"[7, 20]"
95,21,[21]
95,22,[60]
95,23,"[23, 62]"
95,24,[24]
95,25,[25]
95,26,[26]
95,27,[48]
95,28,[28]
95,29,[29]
95,30,"[19, 30, 37]"
95,31,[31]
95,32,[32]
95,33,[33]
95,34,[34]
95,35,[35]
95,36,[36]
95,37,[63]
95,38,[50]
95,39,"[38, 39]"
95,40,[40]
95,41,"[13, 41, 54]"
95,42,[42]
95,43,"[11, 43]"
95,44,[44]
